Date,Open,High,Low,Close,Volume,Adj Close,Return,Adj Return
6/30/2010,256.709988,257.96999,250.009995,251.530003,184863000,33.075655,,
7/1/2010,254.299999,254.800011,243.220013,248.48,255724000,32.674586,-0.012125802,-0.012125807
7/2/2010,250.490005,250.929989,243.200012,246.939991,173460700,32.472078,-0.006197718,-0.006197722
7/6/2010,251.000004,252.799992,246.16,248.62999,153808900,32.694309,0.006843764,0.006843757
7/7/2010,250.490005,258.770008,249.749989,258.670006,163639000,34.01455,0.040381355,0.04038137
7/8/2010,262.48,262.900009,254.889999,258.089993,184536100,33.938279,-0.002242289,-0.002242305
7/9/2010,256.889992,259.899994,255.159992,259.619987,108330600,34.139471,0.005928142,0.005928173
7/12/2010,258.530003,261.849998,254.860012,257.290001,140719600,33.833082,-0.008974602,-0.008974626
7/13/2010,256.319992,256.399994,246.429993,251.799995,297731000,33.111158,-0.021337813,-0.021337814
7/14/2010,249.379993,255.800007,249.000011,252.730003,203011900,33.233452,0.003693439,0.003693438
7/15/2010,248.230007,256.969994,247.299999,251.450001,206216500,33.065135,-0.005064701,-0.005064686
7/16/2010,253.18,254.970001,248.410011,249.900005,259964600,32.861314,-0.006164231,-0.006164227
7/19/2010,249.880005,249.880005,239.60001,245.580013,256119500,32.293244,-0.017286882,-0.017286892
7/20/2010,242.900005,252.899994,240.010006,251.890011,268737700,33.122995,0.025694265,0.02569426
7/21/2010,265.089993,265.149994,253.999992,254.239998,296417800,33.432013,0.009329417,0.00932941
7/22/2010,257.679996,259.999996,255.310009,259.02,161329700,34.060574,0.018801141,0.018801171
7/23/2010,257.089996,260.380005,256.279991,259.939995,133347200,34.181551,0.00355183,0.003551819
7/26/2010,259.999996,260.099998,257.710011,259.280006,105137900,34.094764,-0.002539005,-0.002539001
7/27/2010,260.870003,264.799999,260.300003,264.080009,146192900,34.725954,0.018512816,0.018512813
7/28/2010,263.669987,265.990013,260.249989,260.959991,129996300,34.315678,-0.011814669,-0.011814679
7/29/2010,260.709999,262.64999,256.099987,258.109993,160951700,33.94091,-0.010921207,-0.010921189
7/30/2010,255.889996,259.699989,254.900013,257.25,112052500,33.827822,-0.003331886,-0.003331908
8/2/2010,260.440006,262.589989,259.619987,261.849998,107013900,34.432712,0.017881431,0.017881435
8/3/2010,261.010006,263.259991,259.42001,261.93,104413400,34.443232,0.000305526,0.000305523
8/4/2010,262.840008,264.279987,260.30999,262.980011,105093800,34.581306,0.004008747,0.004008741
8/5/2010,261.729996,263.179989,260.549995,261.700008,72274300,34.412989,-0.004867301,-0.004867283
8/6/2010,259.779991,261.48999,257.630009,260.090012,111224400,34.201278,-0.006152067,-0.006152067
8/9/2010,261.480003,262.150005,259.57,261.749996,75782000,34.419562,0.006382344,0.006382335
8/10/2010,259.850006,260.449993,257.550007,259.409996,112980000,34.111857,-0.008939828,-0.008939829
8/11/2010,255.399998,255.689991,249.80999,250.189999,155013600,32.899447,-0.035542181,-0.035542187
8/12/2010,246.689999,253.099998,246.119999,251.790009,133730100,33.109845,0.00639518,0.006395183
8/13/2010,251.650005,251.879997,249.09,249.099987,88717300,32.756113,-0.010683593,-0.01068359
8/16/2010,247.580006,250.009995,246.62001,247.640007,79607500,32.564129,-0.00586102,-0.005861013
8/17/2010,250.080009,254.629993,249.199989,251.970013,105660100,33.133515,0.017485083,0.017485068
8/18/2010,252.360008,254.669994,251.57999,253.070011,84924000,33.278163,0.004365591,0.00436561
8/19/2010,252.839993,253.480007,248.680004,249.880005,106676500,32.858684,-0.012605231,-0.012605233
8/20/2010,249.390007,253.919991,249.000011,249.639999,96057500,32.827124,-0.000960485,-0.000960477
8/23/2010,251.790009,252,245.249992,245.799992,103510400,32.322171,-0.015382178,-0.015382188
8/24/2010,242.669987,243.000008,238.650002,239.930004,150641400,31.55028,-0.023881156,-0.023881162
8/25/2010,238.040001,243.98999,237.200008,242.889992,149216900,31.939512,0.012336881,0.012336879
8/26/2010,245.449997,245.750004,240.279999,240.279999,116626300,31.596304,-0.010745577,-0.010745562
8/27/2010,241.749992,242.610012,235.559998,241.620003,137097800,31.772511,0.005576844,0.005576823
8/30/2010,240.76001,245.750004,240.680008,242.499996,95822300,31.888228,0.003642054,0.003642048
8/31/2010,241.849995,244.55999,240.349987,243.10001,105196700,31.967129,0.002474285,0.002474299
9/1/2010,247.46999,251.459988,246.280003,250.330002,174259400,32.917857,0.029740813,0.0297408
9/2/2010,251.26001,252.169991,248.569988,252.169991,103856900,33.159812,0.007350254,0.007350266
9/3/2010,255.090004,258.779995,254.500004,258.770008,130197200,34.0277,0.026172888,0.026172887
9/7/2010,256.639999,259.529999,256.250004,257.810013,85639400,33.901463,-0.003709839,-0.003709831
9/8/2010,259.779991,264.390003,259.100002,262.92001,131637800,34.573416,0.019820786,0.019820767
9/9/2010,265.040005,266.520012,262.92001,263.07,109643800,34.59314,0.000570478,0.000570496
9/10/2010,263.190002,264.499992,261.400002,263.410007,96885600,34.63785,0.001292458,0.001292453
9/13/2010,265.819996,268.279999,265.759995,267.039997,97195000,35.115186,0.01378076,0.013780763
9/14/2010,266.209991,269.170006,265.519989,268.059994,102037600,35.249313,0.003819641,0.003819629
9/15/2010,268.17001,270.379993,267.839989,270.21999,107342200,35.533348,0.008057883,0.008057888
9/16/2010,270.23999,276.669991,269.5,276.569988,163025800,36.368359,0.023499364,0.023499362
9/17/2010,277.689987,277.960007,273.679989,275.369987,158619300,36.210562,-0.004338869,-0.004338854
9/20/2010,276.07999,283.780006,275.849998,283.230007,164669400,37.244137,0.028543488,0.028543468
9/21/2010,283.860008,287.349995,282.789997,283.769993,167018600,37.315144,0.001906528,0.001906528
9/22/2010,282.709995,287.979996,282.409988,287.750004,146322400,37.838507,0.014025482,0.014025485
